p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1095056215696995e-56,1.0691500602468063,0.749,0.29,3.736925884008905e-52,11,RP11-1144P22.1
1.6562226556164692e-54,1.024224480836053,0.887,0.561,5.57832352638183e-50,11,PPP1CB
3.8218630650788935e-54,1.0324049830812432,1,0.955,1.287241698949222e-49,11,CD24
3.6204259900428546e-53,1.2431557813368386,0.969,0.616,1.2193956777063339e-48,11,RP11-148B6.1
5.364578750840201e-53,0.9655028000721291,0.954,0.743,1.806843769070488e-48,11,CDC42
1.5920290910929783e-50,1.0645519452222745,0.974,0.587,5.36211318171026e-46,11,POU5F1
7.187136504665093e-45,0.9751551429514613,0.841,0.517,2.42069944613625e-40,11,PTPRS
0,2.3046982789892385,0.527,0.012,0,12,SPRR3
0,1.8736271721881237,0.891,0.018,0,12,VGLL1
1.569102143183584e-239,3.2145040319341325,0.907,0.094,5.2848929284566295e-235,12,IGF2
3.0280010996653697e-238,3.000894608682513,0.961,0.107,1.0198610503782933e-233,12,ANXA1
1.0511506019882899e-158,3.973594865902009,0.674,0.073,3.540380342556759e-154,12,S100A9
1.233386174009027e-116,2.5838207476078687,0.946,0.254,4.154167972679804e-112,12,S100A16
2.2865985187141606e-114,2.1652176559180343,0.946,0.241,7.701492470881164e-110,12,CLDN4
4.061187253150179e-106,3.943467702546343,1,0.388,1.3678484787335118e-101,12,S100A11
9.504814787726854e-99,3.2182600201785037,1,0.414,3.201316668654282e-94,12,ANXA2
4.655677796644269e-96,2.845069755793733,0.938,0.319,1.5680788386877562e-91,12,S100A10
2.610293541045798e-88,3.6290609913878176,0.946,0.374,8.791729675596352e-84,12,S100A6
4.675491671827494e-80,2.813773401784397,0.992,0.583,1.5747523499882182e-75,12,KRT19
4.346309625919644e-77,1.9150480169378528,0.93,0.366,1.4638805451059953e-72,12,CLDN7
1.0592648774450189e-73,2.708501236252664,0.992,0.766,3.567710033722568e-69,12,KRT8
1.0113456399454905e-72,2.6617886474894346,1,0.796,3.4063132499004064e-68,12,KRT18
1.70541930240241e-62,2.1721072961712222,0.969,0.705,5.7440227524215575e-58,12,LY6E
1.875904656402301e-58,1.9750293020695135,0.612,0.151,6.31823447322859e-54,12,IGFBP3
1.2736634933435395e-56,1.7853131383524845,1,0.895,4.289826011930375e-52,12,TPM1
9.907697746989039e-31,1.7670493922487494,0.829,0.506,3.337011678163378e-26,12,NEAT1
7.94086890531286e-25,2.2397969396356006,0.76,0.446,2.6745640559984244e-20,12,MT2A
