"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.41436011407676e-22,0.0864161152518869,0.616,0.496,1.82361063002219e-17,"VPS29"
6.74243623601651e-22,0.123595993445157,0.857,0.757,2.27091994865272e-17,"XRCC5"
6.8715159410048e-22,0.104181707315705,0.92,0.851,2.31439528408983e-17,"ARPC2"
6.88002255762201e-22,0.061445300675192,0.346,0.252,2.31726039763267e-17,"LMNB1"
7.14856248992017e-22,0.106544234074409,0.701,0.584,2.40770733223001e-17,"GLRX3"
7.18308109832957e-22,0.0536136982297808,0.388,0.286,2.41933354472838e-17,"DLD"
7.19839717634432e-22,0.061133129024261,0.398,0.295,2.42449215296453e-17,"NAPA"
7.93920872588127e-22,0.11343848329526,0.902,0.823,2.67400489096407e-17,"PSMB2"
9.73316952638472e-22,-0.061626011778376,1,1,3.27822882818164e-17,"RPL8"
9.7704976202619e-22,0.0622819950145901,0.411,0.306,3.29080130348041e-17,"TK1"
9.94979673802388e-22,-0.263914762416813,0.899,0.892,3.35119103933382e-17,"LDHA"
1.05735874182581e-21,0.100133749656345,0.761,0.641,3.56128997834352e-17,"EWSR1"
1.123443610717e-21,0.104354019656866,0.911,0.84,3.78387042525592e-17,"PSMA1"
1.16384127825263e-21,0.0602480540145195,0.51,0.391,3.91993380928267e-17,"SCP2"
1.48359534147978e-21,0.0970103748314501,0.711,0.587,4.99689746963804e-17,"CDC37"
1.69337485678913e-21,-0.0642967532125409,1,1,5.70345585515146e-17,"RPL31"
1.76202686440781e-21,0.0773621752985948,0.578,0.457,5.93468268201194e-17,"ATXN10"
1.93409632232341e-21,0.0576343212445447,0.438,0.328,6.51422982321749e-17,"HADH"
2.36936806296836e-21,0.132214651274786,0.855,0.758,7.98026857288374e-17,"PHGDH"
2.58917426708675e-21,0.050062700393644,0.294,0.209,8.72059784897489e-17,"RSU1"
2.59394326682363e-21,0.107935499221282,0.903,0.821,8.73666031698868e-17,"DDX5"
2.70771159261579e-21,0.0996987769564746,0.659,0.541,9.11984341508923e-17,"MRPL23"
3.13266857679772e-21,0.099532972985354,0.773,0.663,1.05511410335124e-16,"NDUFA13"
3.15324782525399e-21,0.0894783488996711,0.579,0.466,1.0620454000238e-16,"ADSL"
3.31830754323833e-21,0.0771506267547696,0.527,0.414,1.1176391636381e-16,"ACOT7"
3.47346842388713e-21,0.0801829679645152,0.415,0.315,1.16989889984942e-16,"CDK1"
5.70230789202581e-21,0.103484828803895,0.803,0.689,1.92059432111321e-16,"TECR"
6.3897639910355e-21,0.101489493661986,0.874,0.786,2.15213640982067e-16,"FKBP3"
6.76827490519376e-21,0.115791379306625,0.913,0.853,2.27962267081831e-16,"SSBP1"
7.85702515702147e-21,0.0514259306657429,0.411,0.307,2.6463246431364e-16,"WDR34"
8.45134612913457e-21,0.0455500211180422,0.326,0.234,2.84649788975381e-16,"GRWD1"
8.55197078464997e-21,0.0439966807645434,0.26,0.179,2.88038927997796e-16,"PAPSS1"
1.15032803893501e-20,0.0954330616430106,0.981,0.953,3.87441986793702e-16,"ATP5J2"
1.33467541367244e-20,0.0538902765462535,0.339,0.248,4.49532026079016e-16,"BOP1"
1.49531852713588e-20,0.0786198648938948,0.629,0.508,5.03638233124637e-16,"PPP2CA"
1.51953774840044e-20,-0.415972240594441,0.252,0.315,5.11795509038753e-16,"MT1E"
1.51969465488949e-20,0.0642017810830375,0.483,0.371,5.1184835671333e-16,"NDN"
1.53406568547451e-20,0.091309474701154,0.763,0.645,5.1668866352467e-16,"UBE2N"
1.63498719593402e-20,0.0690164963107989,0.462,0.357,5.50680037462537e-16,"DNAJC9"
1.99119541791208e-20,0.0652919912922166,0.563,0.441,6.70654528706967e-16,"AAMP"
2.02917301683884e-20,0.0396184407373546,0.224,0.151,6.8344576380149e-16,"PRIM2"
2.11875122290034e-20,0.0618051427823795,0.487,0.374,7.13616599385062e-16,"PSMC2"
2.24724236353743e-20,0.0622472286150019,0.549,0.428,7.56893700463041e-16,"APOO"
2.27073740714492e-20,0.0352294090102764,0.173,0.11,7.64807066100479e-16,"MTHFS"
2.34266100176041e-20,0.0767788051848329,0.462,0.358,7.89031652002924e-16,"PEG10"
2.42331369646519e-20,0.0798572752857566,0.533,0.423,8.16196286106439e-16,"FAM64A"
2.43652015833103e-20,0.0666288069738086,0.46,0.352,8.20644354527474e-16,"RFC2"
2.48875271717409e-20,0.073658486091959,0.562,0.445,8.38236802671406e-16,"CENPU"
2.50559684711614e-20,0.0361648971322143,0.179,0.116,8.43910074077186e-16,"POLD1"
2.79779741236873e-20,0.0743197354990413,0.564,0.446,9.42326146459911e-16,"NSMCE4A"
2.85426567748537e-20,0.0576302752679634,0.361,0.268,9.61345222833849e-16,"C16orf59"
2.93439701142625e-20,0.0559865639581566,0.386,0.288,9.88334257418475e-16,"SMC2"
3.1320404645392e-20,-0.0562984953887522,1,1,1.05490254886145e-15,"RPS12"
3.1790366215142e-20,0.0963337724022715,0.704,0.577,1.0707313244922e-15,"ISYNA1"
3.63720947594887e-20,0.0927747696947603,0.676,0.559,1.22504852359434e-15,"GINS2"
3.71140453913781e-20,0.0408275206395454,0.244,0.167,1.250038162827e-15,"GCDH"
4.04282361852684e-20,0.112605845291076,0.758,0.65,1.36166342295602e-15,"CENPW"
4.37713736169826e-20,0.0653905039296062,0.425,0.324,1.47426363479359e-15,"MCM5"
4.56817753815967e-20,0.0841134417402705,0.539,0.428,1.53860787662756e-15,"PSMD6"
4.57518944750456e-20,0.0576944352266878,0.43,0.326,1.54096955781401e-15,"DPM1"
5.62585557754782e-20,0.0697516273022415,0.512,0.398,1.89484441707388e-15,"EBNA1BP2"
7.0242965836935e-20,0.0606977551973263,0.499,0.388,2.36585333235381e-15,"AC004556.1"
7.07468095163701e-20,0.0461564668309775,0.249,0.173,2.38282329132086e-15,"TOR3A"
7.09225811791157e-20,0.0609479581019888,0.468,0.358,2.38874345669379e-15,"SDHB"
7.73674533384956e-20,0.0495880136524548,0.308,0.222,2.60581319589387e-15,"TP53I3"
8.15928545722079e-20,-0.0478325807961593,1,1,2.74812893484654e-15,"RPS23"
1.01009932472312e-19,0.0559712121476471,0.487,0.376,3.40211553559993e-15,"NDUFA9"
1.01708881385597e-19,0.0429258645801388,0.238,0.164,3.42565683394831e-15,"RBMXL1"
1.01850269995381e-19,0.0495292010197263,0.392,0.293,3.43041894371442e-15,"DHRS4L2"
1.08494566502831e-19,0.062392184036137,0.481,0.373,3.65420549438186e-15,"CHAF1A"
1.16132645334349e-19,-0.4203198588134,0.422,0.472,3.91146362750621e-15,"MT2A"
1.22962573297138e-19,0.0513362191021369,0.36,0.266,4.14150243122089e-15,"TSFM"
1.6046127513483e-19,0.0470646232487171,0.307,0.222,5.4044962078162e-15,"ARMC1"
1.6926077105306e-19,0.0617506589699355,0.465,0.361,5.70087202983812e-15,"CENPM"
1.83170054305183e-19,0.0615331611703795,0.397,0.3,6.16935059905286e-15,"RARS"
1.88051007996625e-19,0.0856908265531821,0.519,0.408,6.33374600033433e-15,"IFT57"
1.90946504434091e-19,0.0625269084063645,0.51,0.394,6.43126921584463e-15,"SF3B4"
1.90984601341398e-19,0.062816761489432,0.475,0.369,6.43255235777962e-15,"UFD1L"
1.91306964904216e-19,0.0631102425392379,0.305,0.224,6.44340988493891e-15,"MCM6"
1.95449106427717e-19,0.0969877261288365,0.956,0.911,6.58292135359192e-15,"SRP9"
1.97673212398357e-19,0.0604861619267771,0.461,0.356,6.65783146678907e-15,"GOT2"
2.06160893969782e-19,0.0371521600156623,0.312,0.226,6.94370506979622e-15,"PNO1"
2.20249536471025e-19,0.0744450097805927,0.6,0.482,7.41822463788059e-15,"SNRNP40"
2.26730863785932e-19,0.0454737963805434,0.36,0.266,7.63652222317397e-15,"ACTL6A"
2.45727361028024e-19,0.0468621758196747,0.267,0.19,8.27634324678486e-15,"PSMC3IP"
2.82785746961698e-19,0.0984346190879939,0.956,0.904,9.52450674341697e-15,"UQCR11"
2.99017125868564e-19,0.0540135990210933,0.383,0.287,1.00711958163791e-14,"DHX29"
3.02662754034664e-19,0.0882606819409635,0.578,0.467,1.01939842186415e-14,"SMC4"
3.40961205760802e-19,0.0640802638017771,0.539,0.42,1.14839143712296e-14,"RPA2"
3.49197105716814e-19,0.0437440116396399,0.273,0.195,1.1761307717648e-14,"OAT"
3.57132783431183e-19,0.0364532094904323,0.26,0.183,1.20285892787457e-14,"CNOT3"
3.68184856393088e-19,0.0407995237053309,0.286,0.204,1.24008341481756e-14,"SMU1"
3.77819927646859e-19,0.0894711077683943,0.968,0.934,1.27253529830738e-14,"SEC61B"
3.85828483508e-19,0.0748652747179556,0.59,0.473,1.29950891530329e-14,"NDUFB3"
4.06398954008257e-19,0.0535751582558476,0.234,0.163,1.36879231699521e-14,"SELENBP1"
4.15178648182192e-19,0.0502091520627433,0.377,0.284,1.39836320494244e-14,"ACYP1"
4.20752497748844e-19,0.037787092967054,0.331,0.241,1.41713648766788e-14,"CMPK1"
4.27792967001055e-19,0.0652796942307491,0.516,0.403,1.44084949215625e-14,"AHSA1"
4.32645066573184e-19,0.0417480054568218,0.214,0.146,1.45719184872514e-14,"SHMT1"
4.38565870076276e-19,0.0421034195241345,0.319,0.233,1.47713370700391e-14,"RIC8A"
4.80714835126691e-19,0.0332623043454641,0.138,0.085,1.61909563619021e-14,"CTC-524C5.2"
4.88679340618731e-19,0.0500400344647259,0.231,0.161,1.64592088713795e-14,"CLN3"
5.08478043435635e-19,0.100627316162711,0.934,0.872,1.71260489809556e-14,"IMPDH2"
7.83208278162748e-19,0.0452851935936534,0.238,0.166,2.63792380167995e-14,"CCNE1"
8.56835922601556e-19,0.109448058263424,0.893,0.815,2.8859090709143e-14,"MGST3"
9.27809654175665e-19,0.0632950803885922,0.437,0.337,3.12495569622906e-14,"DNAJC15"
1.0506207371858e-18,0.0445613277634752,0.426,0.323,3.53859570491549e-14,"USB1"
1.13877760643192e-18,0.0674649265682899,0.437,0.339,3.83551685622334e-14,"PRKAR1A"
1.14077752158973e-18,0.039507766310994,0.255,0.179,3.84225277046636e-14,"LOXL1"
1.14499390620794e-18,0.0517994998892139,0.385,0.29,3.85645397549898e-14,"GPAA1"
1.23272364329387e-18,0.0577372850582702,0.487,0.377,4.15193650297807e-14,"RFXANK"
1.45323166215341e-18,0.100479298391499,0.877,0.794,4.8946295612989e-14,"CDK4"
1.48293992150913e-18,0.0385435811146455,0.249,0.175,4.9946899496349e-14,"DSCC1"
1.65252186922214e-18,0.026558735533651,0.16,0.102,5.56585890772708e-14,"MTERF3"
1.70757190408082e-18,0.0929621872647365,0.595,0.487,5.7512729301346e-14,"MCM7"
1.72163592378151e-18,0.0459203014261125,0.271,0.194,5.79864195488851e-14,"NUDT11"
1.75732754667883e-18,0.0915865340115041,0.707,0.594,5.91885490996898e-14,"RNASEH2A"
1.93185431820998e-18,0.0500225126557498,0.361,0.271,6.50667852916303e-14,"SPC25"
2.01993530224719e-18,0.0387059071096334,0.222,0.153,6.80334409149876e-14,"DONSON"
2.03507192821139e-18,0.0410358659238205,0.272,0.194,6.85432576140878e-14,"GTF2H2"
2.07306297892939e-18,0.0379205737063744,0.35,0.26,6.98228341933206e-14,"ZNF738"
2.25114972705793e-18,0.0748322703009124,0.658,0.536,7.58209739570382e-14,"EIF3J"
2.85419552330682e-18,0.0483500878496701,0.469,0.36,9.61321594204969e-14,"CORO1B"
2.95553693748342e-18,0.0382784742043201,0.343,0.253,9.95454395913791e-14,"UXS1"
3.07378373866072e-18,0.206814112420254,0.795,0.736,1.03528110101832e-13,"VIM"
3.10322941042005e-18,0.0432918599266298,0.269,0.192,1.04519869772358e-13,"RFC5"
3.54696696640974e-18,0.0434454376736144,0.373,0.281,1.19465394395646e-13,"CKAP2"
3.56116360620453e-18,0.0541109367121864,0.427,0.328,1.19943551420575e-13,"DNAJB11"
3.63423350375522e-18,0.0499361944889807,0.343,0.255,1.2240461863998e-13,"HIBCH"
3.77442436708844e-18,0.0568030618537251,0.477,0.373,1.27126387107906e-13,"RFC4"
3.85338810105613e-18,0.104605163547556,0.916,0.849,1.29785964631672e-13,"SRSF7"
3.99401940164656e-18,0.0852811529431008,0.788,0.675,1.34522567466858e-13,"PRDX3"
4.1625690212724e-18,0.038871723792347,0.282,0.203,1.40199487205476e-13,"TAF9B"
4.20326987328386e-18,0.0815422439190998,0.76,0.642,1.41570332602074e-13,"LSM6"
4.32854805993934e-18,0.0372981717922358,0.178,0.118,1.45789827206817e-13,"DEGS1"
4.32994083634151e-18,0.0478992978971164,0.374,0.281,1.45836737308818e-13,"ARL6IP6"
5.04067391739424e-18,0.035781157248087,0.312,0.228,1.69774938211755e-13,"NUBP1"
5.34065674298888e-18,0.075759058987352,0.609,0.503,1.79878659760609e-13,"UBE2T"
5.52308240598568e-18,0.0339363163233639,0.419,0.316,1.86022938516004e-13,"PPID"
5.60654196615392e-18,0.0419870065870526,0.376,0.281,1.8883393996203e-13,"QTRT1"
6.08361856874131e-18,0.0501893741795934,0.405,0.306,2.04902357013776e-13,"COPS4"
6.3951646190522e-18,0.0946655484782064,0.944,0.887,2.15395539534297e-13,"PSMB3"
6.85814322566997e-18,0.0895823999824532,0.885,0.792,2.3098912198379e-13,"APEX1"
6.93972640164454e-18,0.0565648920145354,0.474,0.371,2.3373692493379e-13,"TCTEX1D2"
7.40904505606798e-18,0.0708830137714176,0.599,0.485,2.49544046533426e-13,"BUB3"
7.83198024587906e-18,0.0490743094368676,0.409,0.31,2.63788926661453e-13,"SCCPDH"
8.24175148047863e-18,0.101558344093165,0.812,0.713,2.77590431614001e-13,"DUT"
8.48247663133869e-18,0.0530112324376857,0.502,0.392,2.85698295420118e-13,"SAMM50"
8.56856884531544e-18,0.0566623420585841,0.553,0.44,2.88597967279069e-13,"CUEDC2"
8.70723097262468e-18,0.0437874769687456,0.426,0.327,2.93268246388972e-13,"HRSP12"
9.02416605727899e-18,0.10267878250664,0.875,0.786,3.03942936975214e-13,"PPA1"
9.13831183267298e-18,0.089972990682105,0.826,0.726,3.07787480836259e-13,"ATP5H"
9.82706678084247e-18,0.082268568630441,0.738,0.625,3.30985436245555e-13,"HSD17B10"
9.83716824592575e-18,0.0353074141382156,0.226,0.158,3.31325663691025e-13,"SUV39H2"
1.01331587899958e-17,0.0556462141532739,0.467,0.365,3.41294921205847e-13,"TMA16"
