"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"UFD1L";1.90984601341398e-19;0.062816761489432;0.475;0.369;6.43503515759706e-15
"MCM6";1.91306964904216e-19;0.0631102425392379;0.305;0.224;6.44589687548266e-15
"SRP9";1.95449106427717e-19;0.0969877261288365;0.956;0.911;6.58546219197548e-15
"GOT2";1.97673212398357e-19;0.0604861619267771;0.461;0.356;6.66040121855025e-15
"PNO1";2.06160893969782e-19;0.0371521600156623;0.312;0.226;6.94638516141783e-15
"SNRNP40";2.20249536471025e-19;0.0744450097805927;0.6;0.482;7.42108788185471e-15
"ACTL6A";2.26730863785932e-19;0.0454737963805434;0.36;0.266;7.63946972440319e-15
"PSMC3IP";2.45727361028024e-19;0.0468621758196747;0.267;0.19;8.27953770247823e-15
"UQCR11";2.82785746961698e-19;0.0984346190879939;0.956;0.904;9.52818295812747e-15
"DHX29";2.99017125868564e-19;0.0540135990210933;0.383;0.287;1.00750830390154e-14
"SMC4";3.02662754034664e-19;0.0882606819409635;0.578;0.467;1.0197918834444e-14
"RPA2";3.40961205760802e-19;0.0640802638017771;0.539;0.42;1.14883468669045e-14
"OAT";3.49197105716814e-19;0.0437440116396399;0.273;0.195;1.17658472800223e-14
"CNOT3";3.57132783431183e-19;0.0364532094904323;0.26;0.183;1.20332320049303e-14
"SMU1";3.68184856393088e-19;0.0407995237053309;0.286;0.204;1.24056205513087e-14
"SEC61B";3.77819927646859e-19;0.0894711077683943;0.968;0.934;1.27302646421333e-14
"NDUFB3";3.85828483508e-19;0.0748652747179556;0.59;0.473;1.30001049233185e-14
"SELENBP1";4.06398954008257e-19;0.0535751582558476;0.234;0.163;1.36932063563542e-14
"ACYP1";4.15178648182192e-19;0.0502091520627433;0.377;0.284;1.39890293718508e-14
"CMPK1";4.20752497748844e-19;0.037787092967054;0.331;0.241;1.41768346591495e-14
"AHSA1";4.27792967001055e-19;0.0652796942307491;0.516;0.403;1.44140562301335e-14
"SHMT1";4.32645066573184e-19;0.0417480054568218;0.214;0.146;1.45775428731169e-14
"RIC8A";4.38565870076276e-19;0.0421034195241345;0.319;0.233;1.47770384263501e-14
"CTC-524C5.2";4.80714835126691e-19;0.0332623043454641;0.138;0.085;1.61972056547587e-14
"CLN3";4.88679340618731e-19;0.0500400344647259;0.231;0.161;1.64655617028075e-14
"IMPDH2";5.08478043435635e-19;0.100627316162711;0.934;0.872;1.71326591955203e-14
"CCNE1";7.83208278162748e-19;0.0452851935936534;0.238;0.166;2.63894197244156e-14
"MGST3";8.56835922601556e-19;0.109448058263424;0.893;0.815;2.88702295761368e-14
"DNAJC15";9.27809654175665e-19;0.0632950803885922;0.437;0.337;3.12616184877948e-14
"USB1";1.0506207371858e-18;0.0445613277634752;0.426;0.323;3.53996151187383e-14
"PRKAR1A";1.13877760643192e-18;0.0674649265682899;0.437;0.339;3.8369972671117e-14
"LOXL1";1.14077752158973e-18;0.039507766310994;0.255;0.179;3.84373578124442e-14
"GPAA1";1.14499390620794e-18;0.0517994998892139;0.385;0.29;3.85794246757705e-14
"RFXANK";1.23272364329387e-18;0.0577372850582702;0.487;0.377;4.15353904371435e-14
"CDK4";1.45323166215341e-18;0.100479298391499;0.877;0.794;4.8965187624597e-14
"DSCC1";1.48293992150913e-18;0.0385435811146455;0.249;0.175;4.99661777153286e-14
"MTERF3";1.65252186922214e-18;0.026558735533651;0.16;0.102;5.56800718615707e-14
"MCM7";1.70757190408082e-18;0.0929621872647365;0.595;0.487;5.7534927736099e-14
"NUDT11";1.72163592378151e-18;0.0459203014261125;0.271;0.194;5.80088008158942e-14
"RNASEH2A";1.75732754667883e-18;0.0915865340115041;0.707;0.594;5.92113943577966e-14
"SPC25";1.93185431820998e-18;0.0500225126557498;0.361;0.271;6.5091899397767e-14
"DONSON";2.01993530224719e-18;0.0387059071096334;0.222;0.153;6.80597000739168e-14
"GTF2H2";2.03507192821139e-18;0.0410358659238205;0.272;0.194;6.85697135491545e-14
"ZNF738";2.07306297892939e-18;0.0379205737063744;0.35;0.26;6.98497840120467e-14
"EIF3J";2.25114972705793e-18;0.0748322703009124;0.658;0.536;7.585023890349e-14
"CORO1B";2.85419552330682e-18;0.0483500878496701;0.469;0.36;9.61692639622999e-14
"UXS1";2.95553693748342e-18;0.0382784742043201;0.343;0.253;9.95838615715663e-14
"VIM";3.07378373866072e-18;0.206814112420254;0.795;0.736;1.03568069290434e-13
"RFC5";3.10322941042005e-18;0.0432918599266298;0.269;0.192;1.04560211754693e-13
"CKAP2";3.54696696640974e-18;0.0434454376736144;0.373;0.281;1.1951150496621e-13
"DNAJB11";3.56116360620453e-18;0.0541109367121864;0.427;0.328;1.19989846547456e-13
"HIBCH";3.63423350375522e-18;0.0499361944889807;0.343;0.255;1.22451863675528e-13
"RFC4";3.77442436708844e-18;0.0568030618537251;0.477;0.373;1.27175454624678e-13
"SRSF7";3.85338810105613e-18;0.104605163547556;0.916;0.849;1.29836058676985e-13
"PRDX3";3.99401940164656e-18;0.0852811529431008;0.788;0.675;1.34574489719079e-13
"TAF9B";4.1625690212724e-18;0.038871723792347;0.282;0.203;1.40253600602752e-13
"LSM6";4.20326987328386e-18;0.0815422439190998;0.76;0.642;1.41624975110427e-13
"DEGS1";4.32854805993934e-18;0.0372981717922358;0.178;0.118;1.45846098331596e-13
"ARL6IP6";4.32994083634151e-18;0.0478992978971164;0.374;0.281;1.45893026539691e-13
"NUBP1";5.04067391739424e-18;0.035781157248087;0.312;0.228;1.69840466972682e-13
"UBE2T";5.34065674298888e-18;0.075759058987352;0.609;0.503;1.79948088298267e-13
"PPID";5.52308240598568e-18;0.0339363163233639;0.419;0.316;1.86094738587281e-13
"QTRT1";5.60654196615392e-18;0.0419870065870526;0.376;0.281;1.8890682500759e-13
"COPS4";6.08361856874131e-18;0.0501893741795934;0.405;0.306;2.0498144405517e-13
"PSMB3";6.3951646190522e-18;0.0946655484782064;0.944;0.887;2.15478676674345e-13
"APEX1";6.85814322566997e-18;0.0895823999824532;0.885;0.792;2.31078277845724e-13
"TCTEX1D2";6.93972640164454e-18;0.0565648920145354;0.474;0.371;2.33827141377011e-13
"BUB3";7.40904505606798e-18;0.0708830137714176;0.599;0.485;2.49640364119154e-13
"SCCPDH";7.83198024587906e-18;0.0490743094368676;0.409;0.31;2.63890742404649e-13
"DUT";8.24175148047863e-18;0.101558344093165;0.812;0.713;2.77697574383247e-13
"SAMM50";8.48247663133869e-18;0.0530112324376857;0.502;0.392;2.85808567616326e-13
"CUEDC2";8.56856884531544e-18;0.0566623420585841;0.553;0.44;2.88709358674058e-13
"HRSP12";8.70723097262468e-18;0.0437874769687456;0.426;0.327;2.93381440391616e-13
"PPA1";9.02416605727899e-18;0.10267878250664;0.875;0.786;3.04060251133958e-13
"ATP5H";9.13831183267298e-18;0.089972990682105;0.826;0.726;3.07906278890084e-13
"HSD17B10";9.82706678084247e-18;0.082268568630441;0.738;0.625;3.31113188113706e-13
"SUV39H2";9.83716824592575e-18;0.0353074141382156;0.226;0.158;3.31453546878222e-13
"TMA16";1.01331587899958e-17;0.0556462141532739;0.467;0.365;3.41426652270117e-13
"SNRPF";1.03294567432353e-17;0.0933001098511119;0.983;0.962;3.48040715506569e-13
"RBBP4";1.03508434451626e-17;0.0773269398635712;0.741;0.622;3.48761319041309e-13
"THOC3";1.04170256186553e-17;0.0441327631186419;0.259;0.186;3.5099126119497e-13
