"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.77582726906534e-06,0.046401539875617,0.804,0.711,0.0598116382493898,"UBE2V2"
1.78150081442862e-06,0.016514514143084,0.274,0.22,0.0600027289307703,"TBRG1"
1.80855034049089e-06,0.0100445200732793,0.578,0.492,0.0609137840180737,"FADS1"
1.81068033829661e-06,0.00620173681771841,0.205,0.159,0.0609855244741682,"PLAA"
1.81312684240718e-06,0.0556288186484775,0.794,0.707,0.0610679251791163,"PAICS"
1.81336781754925e-06,0.0197766009816935,0.468,0.39,0.0610760414628762,"FLYWCH2"
1.8136130915621e-06,0.0103112447854069,0.214,0.168,0.0610843025369032,"AP001347.6"
1.81830558532627e-06,-0.00069994397866166,0.193,0.149,0.0612423504193742,"CCDC106"
1.81895385467141e-06,0.0151083882686492,0.364,0.299,0.0612641847791876,"PSMA3-AS1"
1.82204399023875e-06,0.0101641642984689,0.134,0.099,0.0613682636352312,"TST"
1.82956664269775e-06,0.00968892064389525,0.126,0.092,0.0616216340927029,"SEL1L3"
1.83502451023132e-06,0.0211518887879043,0.197,0.154,0.061805460529101,"YAF2"
1.83675419929876e-06,0.00357857077848944,0.261,0.209,0.0618637181865814,"SLC39A7"
1.84118927641169e-06,0.00877135364552745,0.176,0.134,0.062013096018822,"SLC25A17"
1.85063725253869e-06,0.0113536808420578,0.377,0.307,0.0623313133027556,"CMC1"
1.85938583318655e-06,0.0199713313612256,0.314,0.257,0.062625974247556,"MXD4"
1.87592901394008e-06,0.00810655747685227,0.2,0.155,0.0631831651185159,"STYXL1"
1.89717823618798e-06,0.027827093222084,0.493,0.415,0.0638988601730473,"ACTR3"
1.90300162601554e-06,0.00967862632806751,0.208,0.163,0.0640949977658295,"TMEM109"
1.91458872714702e-06,0.00986106706844403,0.269,0.215,0.0644852629190389,"YARS2"
1.91602808274724e-06,0.014434453919705,0.23,0.183,0.0645337418550097,"ZNF232"
1.91848434230783e-06,0.0157399484890879,0.328,0.268,0.0646164711332699,"RHBDD3"
1.92597857018752e-06,0.0169466548256589,0.18,0.139,0.0648688842224857,"ARV1"
1.93453137321621e-06,0.0110140522668397,0.211,0.165,0.0651569511812952,"PIGU"
1.94672552793826e-06,0.010692183687608,0.297,0.238,0.0655676625064884,"C18orf21"
1.96085826835982e-06,0.0123908292344277,0.105,0.075,0.066043667336627,"HAS2"
1.97779316798347e-06,0.0143444888394246,0.351,0.285,0.0666140516908513,"OIP5"
1.98919945564224e-06,0.0153479024709769,0.423,0.351,0.0669982268654861,"MOB4"
1.98994113648585e-06,0.0194586854538337,0.394,0.327,0.06702320741798,"PDDC1"
1.99342173699531e-06,-0.0787030401299043,0.91,0.884,0.0671404375237389,"RNF7"
1.99446690299162e-06,0.0135527569987172,0.117,0.085,0.0671756397596608,"ALG6"
1.99469048384092e-06,0.0103038151042789,0.23,0.181,0.067183170186246,"TWSG1"
2.0043108964561e-06,0.00875540391592147,0.187,0.144,0.0675071953035379,"AURKC"
2.01824970418786e-06,0.0169641700878109,0.481,0.404,0.0679766682867513,"PPP4R2"
2.04659335433536e-06,0.0124013415558966,0.279,0.225,0.0689313107673692,"HERC2"
2.06456005109422e-06,0.0208239423079177,0.257,0.206,0.0695364470809045,"VPS4B"
2.07758112063385e-06,0.00631087837018368,0.259,0.206,0.0699750097240687,"TOB2"
2.07821234791003e-06,0.0112322430299168,0.271,0.217,0.0699962700899577,"SNAP29"
2.09308415406402e-06,0.0133951963546963,0.279,0.226,0.0704971673930304,"NIT2"
2.09499314392559e-06,0.0111722804244659,0.167,0.127,0.0705614640805578,"ANKRD46"
2.09699649380812e-06,0.0175975533515929,0.371,0.304,0.0706289389079513,"ETHE1"
2.09881966957384e-06,0.019097313807935,0.238,0.19,0.0706903452909165,"RBM4B"
2.10586957513781e-06,0.0197387837484003,0.325,0.266,0.0709277931602165,"KIZ"
2.1109707841111e-06,0.0547824905657921,0.893,0.825,0.0710996069796459,"PHB2"
2.11309287632211e-06,0.00911064215275295,0.163,0.123,0.071171081167405,"DTX2"
2.1158282634178e-06,0.0203351279638029,0.542,0.455,0.071263211740175,"ZRANB2"
2.12458108966559e-06,0.0131197118513799,0.206,0.161,0.0715580156810268,"EED"
2.12880784931264e-06,0.052832738392214,0.788,0.704,0.0717003771726989,"TPM3"
2.13098061730133e-06,0.0163059646594196,0.224,0.177,0.0717735581713261,"FGFR1OP2"
2.14825651370258e-06,0.0117961023231242,0.115,0.083,0.0723554276380167,"KIAA1586"
2.15792223885902e-06,0.0450284469606617,0.974,0.948,0.0726809789270107,"PSMB1"
2.15915438119163e-06,0.00216202142979643,0.356,0.288,0.0727224787129154,"TACC3"
2.16769988000977e-06,0.0231189631501384,0.21,0.165,0.0730102996586092,"CCDC117"
2.17913074205054e-06,0.0298802650454156,0.544,0.46,0.0733953025230042,"NTMT1"
2.20314266827844e-06,0.0584982423336267,0.813,0.725,0.0742040482102862,"BAX"
2.20452097009091e-06,0.00695980872857654,0.271,0.218,0.0742504707936319,"MED30"
2.20726534970398e-06,0.0522444257895087,0.831,0.745,0.0743429042433798,"ANP32B"
2.20959429853433e-06,0.015419899879634,0.357,0.293,0.0744213455689347,"AK3"
2.22040893374051e-06,-0.126015106778744,0.939,0.923,0.0747855932973142,"SAT1"
2.22336076745687e-06,0.0299066014891732,0.259,0.209,0.0748850140087148,"GAS1"
2.24799538735299e-06,0.0134233043887642,0.25,0.199,0.0757147326414361,"SAP30"
2.24911992815386e-06,0.00905159961427121,0.388,0.317,0.0757526083001502,"SDF4"
2.25269895890688e-06,0.0175184427070408,0.526,0.441,0.0758731536349425,"TMPO"
2.27567210776478e-06,0.0140213280586352,0.422,0.346,0.0766469122616256,"HDHD2"
2.27629743224081e-06,0.0011523182923357,0.185,0.142,0.0766679738153026,"ZNF85"
2.2819794138137e-06,0.0148121028627817,0.171,0.131,0.0768593486366592,"GPKOW"
2.29237224900182e-06,0.0196757456309712,0.115,0.084,0.0772093897186302,"RP11-25K19.1"
2.29815279284568e-06,0.0170121878561958,0.428,0.354,0.0774040842158352,"GIPC1"
2.30196098157987e-06,0.0444019456847093,0.659,0.573,0.0775323478205916,"GSTO1"
2.32134828547597e-06,0.0166928992717393,0.188,0.147,0.0781853316031163,"ALAS1"
2.32785876630946e-06,-0.000388660129458041,0.479,0.397,0.0784046111080688,"TSSC4"
2.32848356548903e-06,0.00956202939562309,0.215,0.169,0.078425654969236,"YIPF5"
2.34287636024171e-06,0.01072456417494,0.218,0.173,0.0789104186893011,"GSS"
2.37993356552141e-06,0.0149664874416796,0.381,0.314,0.0801585424203267,"MSN"
2.38072538935207e-06,-0.0272838907648003,1,1,0.0801852118387671,"RPS27A"
2.39773194792538e-06,0.011496197517644,0.487,0.406,0.0807580097380748,"SMIM10L1"
2.40267982776277e-06,0.00954079242801653,0.241,0.191,0.080924659278878,"DECR1"
2.41213325853617e-06,0.0426396318049245,0.918,0.851,0.0812430602807567,"ERGIC3"
2.41412475559207e-06,0.00724082524942954,0.165,0.125,0.0813101358930964,"TRIP13"
2.42170723601907e-06,0.0076786143772592,0.357,0.293,0.0815655214163584,"SYNE2"
2.43402409795925e-06,0.0500733027977207,0.852,0.777,0.0819803656433656,"HNRNPH3"
2.43664001524631e-06,0.0408010397981384,0.791,0.702,0.082068472353511,"HNRNPR"
2.44396982430765e-06,0.00958535196155719,0.282,0.228,0.0823153476525061,"TMEM237"
2.44943959292156e-06,0.0110749915611318,0.115,0.084,0.0824995749291911,"MINPP1"
2.45713572095615e-06,0.0170454780953733,0.15,0.113,0.0827587882175241,"CENPL"
2.45739425818742e-06,0.0124621493988258,0.382,0.31,0.0827674960100104,"SMARCC2"
2.45930468586353e-06,0.0114287842177607,0.246,0.196,0.0828318411245695,"ASNS"
2.46545996092735e-06,0.0604141420535409,0.872,0.804,0.0830391569439942,"KHDRBS1"
2.47035760383737e-06,0.0104612163236804,0.289,0.232,0.0832041144548465,"ARMT1"
