"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"PSAT1";4.67697707275276e-14;0.0897355495974355;0.605;0.503;1.57525264787386e-09
"TMED7";4.9197926025635e-14;0.0354452731386522;0.199;0.135;1.65703534646941e-09
"OLA1";6.2902125740221e-14;0.0883238634296923;0.801;0.703;2.11860649705638e-09
"DDX5";6.41099184030278e-14;0.0957159071656086;0.903;0.832;2.15928616173238e-09
"PMPCA";6.43101747585261e-14;0.0529453491102427;0.355;0.268;2.16603099604192e-09
"BAZ1A";6.44587854831807e-14;0.0364097488309383;0.206;0.14;2.17103635385901e-09
"REC8";6.67519077670231e-14;0.0542551311812189;0.245;0.173;2.24827100550111e-09
"NDN";6.80286980697154e-14;0.0624978213073404;0.492;0.387;2.29127457968608e-09
"H2AFZ";7.45222470208305e-14;0.0862960706918745;0.999;0.998;2.50998380190859e-09
"APOO";8.912879263793e-14;0.05528370120823;0.563;0.448;3.00194686483812e-09
"GNB2L1";9.08349374671247e-14;0.0497366893894791;1;1;3.05941152883023e-09
"CTPS1";9.34090654585158e-14;0.0525338801457617;0.43;0.329;3.14611073370827e-09
"VPS29";9.73378084027795e-14;0.0740589100618366;0.616;0.509;3.27843472481402e-09
"PPID";9.96829315822205e-14;0.0376259416841599;0.418;0.319;3.35742081862077e-09
"MCM5";1.03532655808391e-13;0.0533041303653075;0.439;0.342;3.48708338028243e-09
"MRPL23";1.13639273336681e-13;0.0937732357685953;0.673;0.568;3.82748436525277e-09
"CLN3";1.15602156912952e-13;0.0472872245168766;0.221;0.156;3.89359624698513e-09
"NDUFA13";1.16569809989974e-13;0.0895455652014956;0.784;0.687;3.92618777027231e-09
"PNMA1";1.27469584118501e-13;0.041370782285815;0.23;0.162;4.29330306269522e-09
"SDHB";1.38994169589568e-13;0.0570883170531686;0.476;0.372;4.68146262594625e-09
"MRPL39";1.52546953441186e-13;0.0415450710948381;0.235;0.166;5.13793393885258e-09
"BZW1";1.68987960748133e-13;0.0704332627998721;0.652;0.537;5.69168350595787e-09
"IMMP1L";1.70428886693605e-13;0.0650253811432623;0.533;0.428;5.74021533272731e-09
"TMBIM4";1.74506789264931e-13;0.0350384325375987;0.22;0.154;5.87756316923212e-09
"PSMD13";1.81315275108694e-13;0.063347190422297;0.513;0.411;6.10687978093593e-09
"C16orf59";2.04360011812529e-13;0.0515387880515529;0.384;0.295;6.88304955785779e-09
"BANF1";2.1179523287651e-13;0.0807962038929886;0.98;0.949;7.13347523851372e-09
"GGH";2.16657538585807e-13;0.0536789326353598;0.267;0.193;7.29724255710856e-09
"UGDH";2.27106245444837e-13;0.0485261406890895;0.405;0.311;7.64916545282757e-09
"IDH2";2.29386406641723e-13;0.0834206074288102;0.661;0.555;7.72596356209986e-09
"CDC37";2.31635777824051e-13;0.0848291963143122;0.714;0.608;7.80172463289187e-09
"DNAJB11";2.42684123959268e-13;0.0592561419626777;0.433;0.339;8.17384397907212e-09
"CCT8";2.50065085920343e-13;0.0900894967803951;0.896;0.818;8.42244215888309e-09
"IFT57";2.63938732550754e-13;0.0868162360905983;0.548;0.443;8.88972045104193e-09
"CLSPN";2.75238468740965e-13;0.060811360016705;0.418;0.327;9.27030686566443e-09
"GPAA1";2.77930799338301e-13;0.0485106035660739;0.385;0.296;9.36098725251331e-09
"SEC61B";2.80325479773469e-13;0.081019505132145;0.972;0.939;9.4416424842502e-09
"SHMT2";2.83428362735927e-13;0.0706308333945187;0.471;0.377;9.54615068530875e-09
"RPL31";2.89685161893736e-13;-0.0538322618794682;1;1;9.75688593774291e-09
"RARS";3.18525514832719e-13;0.0547593006553508;0.393;0.303;1.07282578650808e-08
"SSBP1";3.29113124288123e-13;0.103017206442293;0.916;0.866;1.10848591391483e-08
"DNAJC15";3.46353554306946e-13;0.0542038709048437;0.423;0.329;1.16655340626123e-08
"APEX1";3.79021636457997e-13;0.0781881432791405;0.889;0.803;1.27658277375418e-08
"DPM1";3.81452022917422e-13;0.0438483276967004;0.428;0.332;1.28476855838817e-08
"PSMB2";4.04297064375756e-13;0.0929882570440235;0.9;0.831;1.36171294252399e-08
"PLP1";4.10160807257695e-13;0.0961816844764739;0.478;0.386;1.38146261492464e-08
"RIC8A";4.17360158836463e-13;0.045291256900217;0.319;0.24;1.40571075097709e-08
"MAP1B";4.44394834005764e-13;0.109007404373975;0.875;0.797;1.49676624041481e-08
"PRKCDBP";4.50629883007294e-13;0.0821278947324344;0.51;0.413;1.51776650895687e-08
"COPS3";4.60820349049853e-13;0.0597290719967641;0.548;0.439;1.55208901763481e-08
"DNAJC9";4.81234182774799e-13;0.0608469164353567;0.485;0.386;1.6208448510038e-08
"FUZ";4.9697530684161e-13;0.0339120317021059;0.213;0.148;1.67386253097323e-08
"LMNB1";5.07465095056844e-13;0.0500395265378936;0.36;0.276;1.70919318666095e-08
"VDAC1";5.39936579261527e-13;0.0874076977844083;0.861;0.774;1.81856039261075e-08
"USB1";5.49896722752057e-13;0.0426964121564729;0.429;0.333;1.8521071519012e-08
"NDUFB3";5.52641532295549e-13;0.0649722311396369;0.61;0.499;1.86135194492464e-08
"HSPE1";5.87439556054485e-13;0.102198577025858;0.987;0.976;1.97855516874711e-08
"RBMXL1";5.8970798444069e-13;0.0376701441340596;0.239;0.171;1.98619546239469e-08
"COPS5";5.90941396254151e-13;0.0583985023755659;0.521;0.417;1.99034971672361e-08
"HAUS1";6.10677342427481e-13;0.0695657873045833;0.678;0.564;2.05682235703e-08
"LDHA";6.11106702590146e-13;-0.199569504910424;0.895;0.892;2.05826848499387e-08
"AC004556.1";6.39371384227616e-13;0.0582497508039337;0.513;0.41;2.15346675921703e-08
"MDH1";6.60229776331865e-13;0.0977620405763979;0.776;0.685;2.22371990966335e-08
"RPA2";6.78904349503847e-13;0.0614976886090312;0.557;0.444;2.28661773956391e-08
"CNP";7.0379514803168e-13;0.0451031528107867;0.379;0.288;2.3704524380855e-08
"PLTP";7.19902303705436e-13;0.0712691061949664;0.421;0.33;2.42470294911028e-08
"PGD";7.32186243401968e-13;0.0776950796975635;0.734;0.632;2.46607648640217e-08
"SNRNP40";7.57818857593005e-13;0.076901806395705;0.607;0.502;2.552409694259e-08
"FUOM";7.61750555957285e-13;0.0441278182388537;0.36;0.273;2.56565204751973e-08
"MTERF3";7.63719613026047e-13;0.0213511354498069;0.161;0.106;2.57228402863303e-08
"RPL10";7.71270330208424e-13;-0.0438369977671593;1;1;2.59771559917499e-08
"AC011043.1";8.2053906001516e-13;0.0280970749473674;0.179;0.121;2.76365760803706e-08
"PTPRA";8.28621977198263e-13;0.0370704851879913;0.423;0.327;2.79088168140147e-08
"NXT1";8.44550979805094e-13;0.0561887152840739;0.452;0.357;2.84453215508154e-08
"SMARCB1";9.19989201079291e-13;0.0733892098855011;0.793;0.69;3.09861562815516e-08
"PSMC3IP";9.32467733726909e-13;0.0393795679785285;0.282;0.208;3.1406445739656e-08
"NSA2";9.33608537742456e-13;0.0777375460638166;0.784;0.674;3.14448691597037e-08
"EIF4A1";1.02054027131853e-12;0.0865408127410532;0.874;0.79;3.43728168782794e-08
"MGST3";1.03016168363988e-12;0.0990478988960686;0.9;0.835;3.46968756666749e-08
"SAMM50";1.05862587545356e-12;0.0526626961101205;0.501;0.397;3.56555781111514e-08
"CNOT3";1.07009074379421e-12;0.0312187870595728;0.258;0.187;3.60417263417328e-08
"ADH5";1.0715213684713e-12;0.0963674579634597;0.847;0.764;3.60899112114819e-08
"PTGR1";1.07683299220916e-12;0.0414991676015105;0.427;0.328;3.62688120105967e-08
"WDR76";1.16141053342845e-12;0.0326154404901819;0.134;0.086;3.91174681764038e-08
"NACA2";1.21693932038996e-12;0.0367430955804215;0.14;0.091;4.09877332500543e-08
"CWF19L2";1.25056328925455e-12;0.0311542003335861;0.275;0.2;4.21202221453825e-08
"RFXANK";1.32323275566067e-12;0.0550045728732856;0.495;0.392;4.45678024434072e-08
"COMMD8";1.33895689401147e-12;0.0359034362372005;0.232;0.165;4.50974071472002e-08
"ATP5F1";1.59149744862498e-12;0.0819216294894067;0.867;0.796;5.3603225567138e-08
"QTRT1";1.60092570142836e-12;0.0304714966468521;0.383;0.291;5.39207785498085e-08
"COPS4";1.6213173855484e-12;0.0437723470759329;0.4;0.307;5.46075908626556e-08
"PTOV1";1.63575800782947e-12;0.0865994921991706;0.839;0.743;5.50939654617043e-08
"CCT4";1.76270410120349e-12;0.0901512795598429;0.898;0.825;5.93696368326349e-08
"OSTC";1.79761650880663e-12;0.074595437099261;0.93;0.874;6.05455216331163e-08
"FANCL";1.80223902559051e-12;0.0386894572484422;0.232;0.166;6.07012126209139e-08
"DMAP1";1.80679799554021e-12;0.0307206753367266;0.33;0.247;6.08547632877898e-08
"SNRPB";1.95927805071942e-12;0.0825926916028386;0.973;0.941;6.59904440262808e-08
"TSFM";2.08774914258792e-12;0.04162356387729;0.365;0.279;7.03174788715038e-08
"UBE2F";2.10487196285539e-12;0.0463328517403603;0.521;0.416;7.08941925809325e-08
"SF3B4";2.12485675627606e-12;0.0580249872155302;0.513;0.408;7.15673004081341e-08
"MAGED1";2.13649232099516e-12;0.0547283784700107;0.529;0.423;7.1959197863438e-08
"SESTD1";2.21575200574842e-12;0.0319622260987539;0.18;0.123;7.46287433056127e-08
"TP53I3";2.22615162468924e-12;0.0402109439287701;0.298;0.222;7.49790128711584e-08
"LSM6";2.23271520234023e-12;0.0771425052064778;0.783;0.676;7.52000807300213e-08
"BSG";2.24008209924707e-12;0.0793890407889561;0.989;0.972;7.54482051847407e-08
"FRZB";2.24593830681424e-12;0.115310157725576;0.662;0.573;7.56454481118103e-08
"NUDT11";2.32556312503925e-12;0.0425163668420492;0.285;0.212;7.8327291614447e-08
"FTH1";2.36291250963171e-12;-0.0628464010727683;1;1;7.95852562369056e-08
"SLC35A4";2.45659251264523e-12;0.0315696928806291;0.344;0.26;8.2740492418404e-08
"ERP44";2.51719602157599e-12;0.0324582207375841;0.268;0.195;8.47816792027011e-08
"NAE1";2.58618744870941e-12;0.0598882771734435;0.679;0.567;8.71053794599818e-08
"AHSA1";2.66694017231485e-12;0.0495571167628612;0.519;0.414;8.98252119437365e-08
"DEGS1";2.81461597573116e-12;0.033712108419588;0.187;0.129;9.47990806786013e-08
"UBE2N";2.850432818601e-12;0.081959888647239;0.769;0.666;9.60054277633003e-08
"FTSJ3";2.86590281962015e-12;0.0311015413338762;0.2;0.14;9.65264728676264e-08
"TECR";3.08941653730163e-12;0.0803347446411908;0.817;0.717;1.04054638392856e-07
"ACYP1";3.24241350722755e-12;0.0425827820887725;0.4;0.311;1.09207729336931e-07
"TIMM23";3.29130943118283e-12;0.0490523795254797;0.423;0.334;1.10854592951669e-07
